# Tephem =  2.4549689642054532e+06 (+/-  1.5591893424006919e-05) + N x  3.8944221871860407e+01 (+/-  4.7018323005954396e-03)
# Mean Dur_Tot =  2.7597761044214667e+02 (+/-  8.0279637907021506e-01) min
# epoch TT_d eTT_d Dur_m eDur_m lc_id lc_type
00000  2.4549693067208445e+06  9.9051974655139929e-04  2.8829117055296189e+02  3.8304994234669607e+00     1    llc
00001  2.4550083309463942e+06  8.5484758520237847e-04  2.9191764301815664e+02  4.5593404671138273e+00     1    llc
00002  2.4550473354643160e+06  8.8052038637442820e-04  2.8226530809813266e+02  4.7047422669600110e+00     1    llc
00003  2.4550863133344436e+06  1.0767469202050961e-03  2.9061815634258625e+02  5.7556071889918599e+00     1    llc
00004  2.4551252624170347e+06  1.5571872392570185e-03  2.8389975273076305e+02  6.0619451655611556e+00     1    llc
00005  2.4551641837701024e+06  1.9976535229488945e-03  2.8396601413103554e+02  6.4331566723956257e+00     1    llc
00006  2.4552030713940705e+06  9.9460395870210050e-04  2.8245133324460971e+02  6.9752801865953415e+00     1    llc
00007  2.4552419301646925e+06  7.3156156742015810e-04  2.7987037855651954e+02  3.5676003765671567e+00     1    llc
00008  2.4552807637887639e+06  1.3369941460155133e-03  2.8051309675574197e+02  6.6334780869362362e+00     1    llc
00009  2.4553195772719597e+06  1.1489385669847252e-03  2.7910037278438142e+02  5.0548369626166050e+00     1    llc
00010  2.4553583777044821e+06  1.2477000304897956e-03  2.8347439802988094e+02  6.5661171451217228e+00     1    llc
00011  2.4553971689628093e+06  9.0783135999572551e-04  2.8088240194845537e+02  6.7518289495661179e+00     1    llc
00012  2.4554359587125676e+06  7.0833960512572958e-04  2.7510460658704136e+02  4.7532433895212876e+00     1    llc
00013  2.4554747531966590e+06  5.8171109697013890e-04  2.7274174022144160e+02  4.1765133526199634e+00     2    slc
00014  2.4555135620690072e+06  7.0795465899209375e-04  2.7349072119796244e+02  4.6306508936763748e+00     2    slc
00015  2.4555523866074719e+06  6.9945716768415878e-04  2.8177673969303288e+02  4.7562595362660431e+00     2    slc
00016  2.4555912379103689e+06  7.2433636421465053e-04  2.8081923498079823e+02  4.8404489076075379e+00     2    slc
00017  2.4556301123646572e+06  8.1595153062608006e-04  2.7593042644122636e+02  5.6036757289638217e+00     2    slc
00018  2.4556690213665529e+06  6.7378868982359563e-04  2.7415094789676067e+02  4.6296269966113073e+00     2    slc
00019  2.4557079644359974e+06  6.5823447573620797e-04  2.6745197025931225e+02  4.2060972989211223e+00     2    slc
00020  2.4557469347950448e+06  7.8879661361952458e-04  2.7892306278841926e+02  5.6725868814311866e+00     2    slc
00021  2.4557859365144172e+06  6.6592771190698841e-04  2.7091868655957182e+02  4.4405573309593365e+00     2    slc
00022  2.4558249591178624e+06  6.1946097912368714e-04  2.6963528427842164e+02  4.1864772104603958e+00     2    slc
00023  2.4558640005987450e+06  6.4775083683343837e-04  2.6863304309927685e+02  5.4491528489065217e+00     2    slc
00025  2.4559421171390284e+06  7.0079897250252543e-04  2.6874674998328931e+02  5.0640376938280269e+00     2    slc
00026  2.4559811862148326e+06  9.2577408349825419e-04  2.6539490763073849e+02  5.4545676573530386e+00     2    slc
00027  2.4560202580551542e+06  7.1035414953257714e-04  2.7072574450766047e+02  5.6113320305947241e+00     2    slc
00028  2.4560593314401307e+06  6.5900715731004311e-04  2.6917514412708499e+02  3.7277543190451183e+00     2    slc
00029  2.4560984050085936e+06  7.6916150851502607e-04  2.6990167298367487e+02  5.2885667448867366e+00     2    slc
00030  2.4561374783596057e+06  7.2019218669083784e-04  2.7139254370924544e+02  4.0744692684293682e+00     2    slc
00031  2.4561765529909581e+06  7.1361627124133520e-04  2.7398517763242131e+02  4.3739280084112124e+00     2    slc
00032  2.4562156268774122e+06  6.9433821863640333e-04  2.7798314672967024e+02  6.2729142640336022e+00     2    slc
00033  2.4562546972810496e+06  6.9605222097379738e-04  2.7651117306219987e+02  5.1540771632086262e+00     2    slc
00034  2.4562937666649129e+06  7.7851898208791681e-04  2.8204884051764475e+02  4.8078138765887388e+00     2    slc
00035  2.4563328344220892e+06  6.8536648223016527e-04  2.7007588236032859e+02  4.9074220276569918e+00     2    slc
00036  2.4563719021084085e+06  6.7843002284462273e-04  2.6541200888994337e+02  4.2275097958094534e+00     2    slc
00037  2.4564109602741930e+06  8.2523308651616389e-04  2.7368318450147535e+02  5.6367868702587884e+00     2    slc
